Benefits,Building,Customer,Date,Department,Employee Name,Hire Date,Month,Product,Region,Salesperson,Status,Item Cost,Job Rating,No.Items,Salary,Total Cost,Years
,Main,Ellington Equipment,7/2/2014,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,6,35312,474,5
,Main,Ellington Equipment,1/4/2014,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,7,35312,553,5
,Main,Ellington Equipment,9/12/2015,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,7,35312,553,5
,Main,Ellington Equipment,12/22/2015,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,11,35312,869,5
,Main,Ellington Equipment,1/11/2015,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,12,35312,948,5
,Main,Ellington Equipment,11/12/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"V-neck sweater, Case of 12",NW,"Christensen, Jill",Hourly,340,3,2,35312,680,5
,Main,Ellington Equipment,5/4/2014,Sales,"Christensen, Jill",11/12/2010,Nov,"V-neck sweater, Case of 12",NW,"Christensen, Jill",Hourly,340,3,2,35312,680,5
,Main,Ellington Equipment,8/26/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"V-neck sweater, Case of 12",NW,"Christensen, Jill",Hourly,340,3,5,35312,1700,5
,Main,Ellington Equipment,2/19/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"V-neck sweater, Case of 12",NW,"Christensen, Jill",Hourly,340,3,6,35312,2040,5
,Main,Ellington Equipment,9/26/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"V-neck sweater, Case of 12",NW,"Christensen, Jill",Hourly,340,3,13,35312,4420,5
D,South,Ellington Equipment,6/14/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,"Thermal Vest, Case of 12",SW,"Kelly, Icelita",Full Time,799,5,1,45450,799,16
D,South,Ellington Equipment,3/9/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"Thermal Vest, Case of 12",SW,"Kelly, Icelita",Full Time,799,5,8,45450,6392,16
D,South,Ellington Equipment,4/22/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"Polo Sweatshirt, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,8,45450,2720,16
D,South,Ellington Equipment,6/3/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"Polo Sweatshirt, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,9,45450,3060,16
D,South,Ellington Equipment,10/4/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,90 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,168,5,1,45450,168,16
D,South,Ellington Equipment,7/20/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,90 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,168,5,2,45450,336,16
D,South,Ellington Equipment,3/19/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,30 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,79,5,1,45450,79,16
D,South,Ellington Equipment,5/25/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,30 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,79,5,1,45450,79,16
D,South,Ellington Equipment,12/3/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,30 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,79,5,3,45450,237,16
D,South,Ellington Equipment,6/28/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,30 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,79,5,4,45450,316,16
D,South,Ellington Equipment,11/9/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,30 Day H+ Supplement Pack,SW,"Kelly, Icelita",Full Time,79,5,13,45450,1027,16
D,South,Ellington Equipment,5/20/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"V-neck sweater, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,3,45450,1020,16
D,South,Ellington Equipment,8/16/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"V-neck sweater, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,3,45450,1020,16
D,South,Ellington Equipment,9/11/2014,Sales,"Kelly, Icelita",2/11/2000,Feb,"V-neck sweater, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,5,45450,1700,16
D,South,Ellington Equipment,9/20/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,"V-neck sweater, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,8,45450,2720,16
D,South,Ellington Equipment,1/6/2015,Sales,"Kelly, Icelita",2/11/2000,Feb,"V-neck sweater, Case of 12",SW,"Kelly, Icelita",Full Time,340,5,11,45450,3740,16
R,Main,Ellington Equipment,2/16/2014,Sales,"Leon, Emily",1/15/1999,Jan,"Thermal Vest, Case of 12",SW,"Leon, Emily",Full Time,799,2,9,23520,7191,17
R,Main,Ellington Equipment,10/29/2014,Sales,"Leon, Emily",1/15/1999,Jan,"Thermal Vest, Case of 12",SW,"Leon, Emily",Full Time,799,2,10,23520,7990,17
R,Main,Ellington Equipment,9/7/2014,Sales,"Leon, Emily",1/15/1999,Jan,"Thermal Vest, Case of 12",SW,"Leon, Emily",Full Time,799,2,14,23520,11186,17
R,Main,Ellington Equipment,12/21/2015,Sales,"Leon, Emily",1/15/1999,Jan,90 Day H+ Supplement Pack,SW,"Leon, Emily",Full Time,168,2,3,23520,504,17
R,Main,Ellington Equipment,6/15/2014,Sales,"Leon, Emily",1/15/1999,Jan,90 Day H+ Supplement Pack,SW,"Leon, Emily",Full Time,168,2,6,23520,1008,17
R,Main,Ellington Equipment,5/3/2015,Sales,"Leon, Emily",1/15/1999,Jan,90 Day H+ Supplement Pack,SW,"Leon, Emily",Full Time,168,2,7,23520,1176,17
R,Main,Ellington Equipment,10/22/2014,Sales,"Leon, Emily",1/15/1999,Jan,30 Day H+ Supplement Pack,SW,"Leon, Emily",Full Time,79,2,12,23520,948,17
R,Main,Ellington Equipment,7/13/2015,Sales,"Leon, Emily",1/15/1999,Jan,30 Day H+ Supplement Pack,SW,"Leon, Emily",Full Time,79,2,15,23520,1185,17
R,Main,Ellington Equipment,4/20/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,2,23520,680,17
R,Main,Ellington Equipment,2/9/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,4,23520,1360,17
R,Main,Ellington Equipment,2/9/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,6,23520,2040,17
R,Main,Ellington Equipment,4/13/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,6,23520,2040,17
R,Main,Ellington Equipment,9/11/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,8,23520,2720,17
R,Main,Ellington Equipment,8/9/2015,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,13,23520,4420,17
R,Main,Ellington Equipment,7/22/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,14,23520,4760,17
R,Main,Ellington Equipment,3/27/2014,Sales,"Leon, Emily",1/15/1999,Jan,"V-neck sweater, Case of 12",SW,"Leon, Emily",Full Time,340,2,15,23520,5100,17
,Taft,Ellington Equipment,7/20/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,"Thermal Vest, Case of 12",NE,"Livingston, Lynette",Contract,799,2,2,74020,1598,5
,Taft,Ellington Equipment,12/14/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,"Polo Sweatshirt, Case of 12",NE,"Livingston, Lynette",Contract,340,2,9,74020,3060,5
,Taft,Ellington Equipment,6/24/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,90 Day H+ Supplement Pack,NE,"Livingston, Lynette",Contract,168,2,7,74020,1176,5
,Taft,Ellington Equipment,6/15/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,90 Day H+ Supplement Pack,NE,"Livingston, Lynette",Contract,168,2,9,74020,1512,5
,Taft,Ellington Equipment,1/15/2015,Sales,"Livingston, Lynette",6/4/2010,Jun,30 Day H+ Supplement Pack,NE,"Livingston, Lynette",Contract,79,2,2,74020,158,5
,Taft,Ellington Equipment,9/6/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,30 Day H+ Supplement Pack,NE,"Livingston, Lynette",Contract,79,2,13,74020,1027,5
,Taft,Ellington Equipment,4/7/2014,Sales,"Livingston, Lynette",6/4/2010,Jun,30 Day H+ Supplement Pack,NE,"Livingston, Lynette",Contract,79,2,13,74020,1027,5
,Taft,Ellington Equipment,1/6/2015,Sales,"Livingston, Lynette",6/4/2010,Jun,"V-neck sweater, Case of 12",NE,"Livingston, Lynette",Contract,340,2,1,74020,340,5
,North,Ellington Equipment,12/7/2015,Sales,"Lucas, John",7/1/2003,Jul,"Thermal Vest, Case of 12",SW,"Lucas, John",Contract,799,3,5,78100,3995,12
,North,Ellington Equipment,11/1/2015,Sales,"Lucas, John",7/1/2003,Jul,"Thermal Vest, Case of 12",SW,"Lucas, John",Contract,799,3,7,78100,5593,12
,North,Ellington Equipment,11/2/2015,Sales,"Lucas, John",7/1/2003,Jul,"Thermal Vest, Case of 12",SW,"Lucas, John",Contract,799,3,13,78100,10387,12
,North,Ellington Equipment,9/6/2015,Sales,"Lucas, John",7/1/2003,Jul,"Polo Sweatshirt, Case of 12",SW,"Lucas, John",Contract,340,3,9,78100,3060,12
,North,Ellington Equipment,8/4/2015,Sales,"Lucas, John",7/1/2003,Jul,"Polo Sweatshirt, Case of 12",SW,"Lucas, John",Contract,340,3,10,78100,3400,12
,North,Ellington Equipment,3/11/2015,Sales,"Lucas, John",7/1/2003,Jul,"Polo Sweatshirt, Case of 12",SW,"Lucas, John",Contract,340,3,13,78100,4420,12
,North,Ellington Equipment,4/19/2015,Sales,"Lucas, John",7/1/2003,Jul,90 Day H+ Supplement Pack,SW,"Lucas, John",Contract,168,3,1,78100,168,12
,North,Ellington Equipment,2/8/2015,Sales,"Lucas, John",7/1/2003,Jul,90 Day H+ Supplement Pack,SW,"Lucas, John",Contract,168,3,14,78100,2352,12
,North,Ellington Equipment,8/9/2015,Sales,"Lucas, John",7/1/2003,Jul,30 Day H+ Supplement Pack,SW,"Lucas, John",Contract,79,3,13,78100,1027,12
,North,Ellington Equipment,1/28/2014,Sales,"Lucas, John",7/1/2003,Jul,"V-neck sweater, Case of 12",SW,"Lucas, John",Contract,340,3,4,78100,1360,12
,North,Ellington Equipment,11/29/2015,Sales,"Lucas, John",7/1/2003,Jul,"V-neck sweater, Case of 12",SW,"Lucas, John",Contract,340,3,9,78100,3060,12
,North,Ellington Equipment,12/3/2015,Sales,"Lucas, John",7/1/2003,Jul,"V-neck sweater, Case of 12",SW,"Lucas, John",Contract,340,3,12,78100,4080,12
DMR,South,Ellington Equipment,10/28/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Thermal Vest, Case of 12",NE,"Maynard, Susan",Full Time,799,5,4,39110,3196,4
DMR,South,Ellington Equipment,8/4/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Thermal Vest, Case of 12",NE,"Maynard, Susan",Full Time,799,5,8,39110,6392,4
DMR,South,Ellington Equipment,3/13/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Thermal Vest, Case of 12",NE,"Maynard, Susan",Full Time,799,5,11,39110,8789,4
DMR,South,Ellington Equipment,6/18/2015,Sales,"Maynard, Susan",1/14/2012,Jan,"Thermal Vest, Case of 12",NE,"Maynard, Susan",Full Time,799,5,12,39110,9588,4
DMR,South,Ellington Equipment,7/17/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Thermal Vest, Case of 12",NE,"Maynard, Susan",Full Time,799,5,14,39110,11186,4
DMR,South,Ellington Equipment,9/9/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Polo Sweatshirt, Case of 12",NE,"Maynard, Susan",Full Time,340,5,3,39110,1020,4
DMR,South,Ellington Equipment,10/19/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Polo Sweatshirt, Case of 12",NE,"Maynard, Susan",Full Time,340,5,6,39110,2040,4
DMR,South,Ellington Equipment,9/14/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"Polo Sweatshirt, Case of 12",NE,"Maynard, Susan",Full Time,340,5,8,39110,2720,4
DMR,South,Ellington Equipment,1/29/2015,Sales,"Maynard, Susan",1/14/2012,Jan,90 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,168,5,4,39110,672,4
DMR,South,Ellington Equipment,5/23/2015,Sales,"Maynard, Susan",1/14/2012,Jan,90 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,168,5,12,39110,2016,4
DMR,South,Ellington Equipment,7/13/2014,Sales,"Maynard, Susan",1/14/2012,Jan,30 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,79,5,2,39110,158,4
DMR,South,Ellington Equipment,9/6/2015,Sales,"Maynard, Susan",1/14/2012,Jan,30 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,79,5,2,39110,158,4
DMR,South,Ellington Equipment,10/5/2014,Sales,"Maynard, Susan",1/14/2012,Jan,30 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,79,5,4,39110,316,4
DMR,South,Ellington Equipment,6/25/2015,Sales,"Maynard, Susan",1/14/2012,Jan,30 Day H+ Supplement Pack,NE,"Maynard, Susan",Full Time,79,5,6,39110,474,4
DMR,South,Ellington Equipment,1/4/2015,Sales,"Maynard, Susan",1/14/2012,Jan,"V-neck sweater, Case of 12",NE,"Maynard, Susan",Full Time,340,5,2,39110,680,4
DMR,South,Ellington Equipment,7/26/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"V-neck sweater, Case of 12",NE,"Maynard, Susan",Full Time,340,5,3,39110,1020,4
DMR,South,Ellington Equipment,6/16/2015,Sales,"Maynard, Susan",1/14/2012,Jan,"V-neck sweater, Case of 12",NE,"Maynard, Susan",Full Time,340,5,3,39110,1020,4
DMR,South,Ellington Equipment,10/19/2014,Sales,"Maynard, Susan",1/14/2012,Jan,"V-neck sweater, Case of 12",NE,"Maynard, Susan",Full Time,340,5,7,39110,2380,4
DMR,South,Ellington Equipment,8/13/2015,Sales,"Maynard, Susan",1/14/2012,Jan,"V-neck sweater, Case of 12",NE,"Maynard, Susan",Full Time,340,5,9,39110,3060,4
DMR,North,Ellington Equipment,6/12/2014,Sales,"McCullough, Scott",5/17/2012,May,"Polo Sweatshirt, Case of 12",NW,"McCullough, Scott",Full Time,340,5,6,48550,2040,3
DMR,North,Ellington Equipment,7/26/2015,Sales,"McCullough, Scott",5/17/2012,May,"Polo Sweatshirt, Case of 12",NW,"McCullough, Scott",Full Time,340,5,9,48550,3060,3
DMR,North,Ellington Equipment,5/2/2015,Sales,"McCullough, Scott",5/17/2012,May,"Polo Sweatshirt, Case of 12",NW,"McCullough, Scott",Full Time,340,5,10,48550,3400,3
DMR,North,Ellington Equipment,6/15/2014,Sales,"McCullough, Scott",5/17/2012,May,"Polo Sweatshirt, Case of 12",NW,"McCullough, Scott",Full Time,340,5,10,48550,3400,3
DMR,North,Ellington Equipment,9/6/2015,Sales,"McCullough, Scott",5/17/2012,May,90 Day H+ Supplement Pack,NW,"McCullough, Scott",Full Time,168,5,1,48550,168,3
DMR,North,Ellington Equipment,7/20/2015,Sales,"McCullough, Scott",5/17/2012,May,90 Day H+ Supplement Pack,NW,"McCullough, Scott",Full Time,168,5,2,48550,336,3
DMR,North,Ellington Equipment,11/30/2014,Sales,"McCullough, Scott",5/17/2012,May,90 Day H+ Supplement Pack,NW,"McCullough, Scott",Full Time,168,5,9,48550,1512,3
DMR,North,Ellington Equipment,2/19/2015,Sales,"McCullough, Scott",5/17/2012,May,30 Day H+ Supplement Pack,NW,"McCullough, Scott",Full Time,79,5,3,48550,237,3
DMR,North,Ellington Equipment,9/24/2014,Sales,"McCullough, Scott",5/17/2012,May,"V-neck sweater, Case of 12",NW,"McCullough, Scott",Full Time,340,5,1,48550,340,3
DMR,North,Ellington Equipment,3/31/2015,Sales,"McCullough, Scott",5/17/2012,May,"V-neck sweater, Case of 12",NW,"McCullough, Scott",Full Time,340,5,6,48550,2040,3
DMR,North,Ellington Equipment,4/9/2015,Sales,"McCullough, Scott",5/17/2012,May,"V-neck sweater, Case of 12",NW,"McCullough, Scott",Full Time,340,5,7,48550,2380,3
,North,Ellington Equipment,11/10/2015,Sales,"Norman, Rita",1/17/2006,Jan,"Thermal Vest, Case of 12",SE,"Norman, Rita",Contract,799,4,7,54190,5593,10
,North,Ellington Equipment,4/26/2015,Sales,"Norman, Rita",1/17/2006,Jan,"Thermal Vest, Case of 12",SE,"Norman, Rita",Contract,799,4,8,54190,6392,10
,North,Ellington Equipment,10/19/2014,Sales,"Norman, Rita",1/17/2006,Jan,"Thermal Vest, Case of 12",SE,"Norman, Rita",Contract,799,4,13,54190,10387,10
,North,Ellington Equipment,8/9/2015,Sales,"Norman, Rita",1/17/2006,Jan,"Polo Sweatshirt, Case of 12",SE,"Norman, Rita",Contract,340,4,11,54190,3740,10
,North,Ellington Equipment,1/5/2014,Sales,"Norman, Rita",1/17/2006,Jan,90 Day H+ Supplement Pack,SE,"Norman, Rita",Contract,168,4,3,54190,504,10
,North,Ellington Equipment,3/1/2014,Sales,"Norman, Rita",1/17/2006,Jan,90 Day H+ Supplement Pack,SE,"Norman, Rita",Contract,168,4,4,54190,672,10
,North,Ellington Equipment,1/27/2015,Sales,"Norman, Rita",1/17/2006,Jan,90 Day H+ Supplement Pack,SE,"Norman, Rita",Contract,168,4,9,54190,1512,10
,North,Ellington Equipment,10/13/2014,Sales,"Norman, Rita",1/17/2006,Jan,30 Day H+ Supplement Pack,SE,"Norman, Rita",Contract,79,4,4,54190,316,10
,North,Ellington Equipment,12/8/2015,Sales,"Norman, Rita",1/17/2006,Jan,30 Day H+ Supplement Pack,SE,"Norman, Rita",Contract,79,4,15,54190,1185,10
,North,Ellington Equipment,11/11/2015,Sales,"Norman, Rita",1/17/2006,Jan,"V-neck sweater, Case of 12",SE,"Norman, Rita",Contract,340,4,10,54190,3400,10
,North,Ellington Equipment,8/6/2014,Sales,"Norman, Rita",1/17/2006,Jan,"V-neck sweater, Case of 12",SE,"Norman, Rita",Contract,340,4,14,54190,4760,10
,North,Ellington Equipment,1/29/2015,Sales,"Norman, Rita",1/17/2006,Jan,"V-neck sweater, Case of 12",SE,"Norman, Rita",Contract,340,4,15,54190,5100,10
DMR,Main,Ellington Equipment,10/22/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,2,20500,1598,17
DMR,Main,Ellington Equipment,5/28/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,5,20500,3995,17
DMR,Main,Ellington Equipment,2/25/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,9,20500,7191,17
DMR,Main,Ellington Equipment,10/27/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,9,20500,7191,17
DMR,Main,Ellington Equipment,9/18/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,10,20500,7990,17
DMR,Main,Ellington Equipment,1/7/2014,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,13,20500,10387,17
DMR,Main,Ellington Equipment,9/2/2015,Sales,"Owen, Robert",6/15/1998,Jun,"Thermal Vest, Case of 12",SW,"Owen, Robert",Half-Time,799,3,13,20500,10387,17
DMR,Main,Ellington Equipment,10/4/2015,Sales,"Owen, Robert",6/15/1998,Jun,90 Day H+ Supplement Pack,SW,"Owen, Robert",Half-Time,168,3,1,20500,168,17
DMR,Main,Ellington Equipment,10/28/2015,Sales,"Owen, Robert",6/15/1998,Jun,90 Day H+ Supplement Pack,SW,"Owen, Robert",Half-Time,168,3,2,20500,336,17
DMR,Main,Ellington Equipment,6/24/2015,Sales,"Owen, Robert",6/15/1998,Jun,90 Day H+ Supplement Pack,SW,"Owen, Robert",Half-Time,168,3,13,20500,2184,17
DMR,Main,Ellington Equipment,10/11/2014,Sales,"Owen, Robert",6/15/1998,Jun,30 Day H+ Supplement Pack,SW,"Owen, Robert",Half-Time,79,3,1,20500,79,17
